0seqname_firstname_last agstreet              city      state     zip       dollar              pick  date      0000000000000000000000000float00000000000000000000credt-card00000000000000000000000natural
0486Nathaniel Robinson  42Geup Turnpike       Raezufut  DC        92612     $6759.11            RED   02/15/19600000000000000379609010090.8032000000000000000030092980744768000000000000000457396587593728
0487Callie    Clarke    50Kemwez Ridge        Huwpazi   HI        78571     $354.70             YELLOW06/14/20070000000000000685549077240.2177000000000000004026735334169391000000000000008680307085541376
0488Myrtie    Soto      64Lipa Junction       Camsatbut OH        66787     $9278.71            GREEN 04/23/1991000000000000-709438930209.9968000000000000005407063595301850000000000000001353860511694848
0489Abbie     Goodwin   34Guzta Square        Hezizmar  MI        11588     $9706.40            RED   06/10/19170000000000000511510135911.2192000000000000005449635811111179000000000000008242492438740992
0490Manuel    Olson     27Besva Point         Cupganip  MN        35581     $4111.71            YELLOW04/27/20190000000000000369859721638.7072000000000000000036671782307488000000000000006889583375548416
0491Helen     Long      59Faejo Avenue        Gifhuata  MO        50380     $3260.13            WHITE 11/13/19540000000000000487961366259.3024000000000000000036593484821790000000000000000168256696483840
0492Hettie    Stevens   18Milmo Center        Wibemvar  AR        43056     $5917.63            YELLOW07/02/19300000000000000514660567403.7248000000000000004026343482260300000000000000003205316940398592
0493Lottie    Porter    64Bail Extension      Cokanro   CO        14847     $6295.85            YELLOW09/24/20240000000000000502704120843.4688000000000000004653205447852382000000000000007196190458249216
0494Lester    Douglas   60Fukfip Highway      Cinkado   RI        77491     $6662.57            YELLOW11/10/20220000000000000037184961144.4224000000000000005493269942518253000000000000005068537009799168
0495Roy       Perez     32Ojvep Pass          Tujgaba   OK        71893     $743.23             RED   02/21/20380000000000000-891298129117.184000000000000000349422932439801000000000000002954729151791104
0496Ronnie    Reed      60Juciv Ridge         Urudeju   NJ        95097     $2223.04            GREEN 05/14/19780000000000000864563021375.0784000000000000000036496218744330000000000000004945274659143680
0497Effie     Ingram    24Icumu Path          Lejmargal OH        40174     $5725.06            GREEN 07/31/20450000000000000639446186092.1344000000000000005610547893024746000000000000000398182146113536
0498Ada       Carroll   28Gihvup Point        Daknouf   OH        60233     $2955.72            GREEN 06/16/19250000000000000-47816771004.0064000000000000004026848564786055000000000000000442821133729792
0499Theodore  Payne     46Hajos Key           Wopsojbo  ME        69661     $6245.99            WHITE 11/03/19940000000000000814767274563.9937000000000000006304366975549283000000000000005634840336531456
0500Nellie    Lambert   52Udoli Square        Ectannuz  MS        60403     $7308.27            WHITE 12/27/20540000000000000311261667944.0384000000000000006304964487304252000000000000001079098365444096
0501Estella   Hanson    32Ecifil Circle       Jizfutu   WY        74222     $4758.47            RED   04/29/20500000000000000565115434408.3456000000000000003528658373846940000000000000006536055115218944
0502Joshua    Roy       22Ifohi Street        Fupcebu   UT        23588     $3459.77            YELLOW04/19/2038000000000000-725379678260.4288000000000000004026778484363679000000000000001793310064640000
0503Ola       Cooper    40Ucmol Junction      Epashos   VA        89973     $8632.30            BLUE  06/10/2056000000000000-875999253023.9489000000000000006376145743649952000000000000005443134798430208
0504Nicholas  Porter    18Unozu Way           Movonfuv  FL        77552     $484.45             RED   12/05/19040000000000000566407719183.9744000000000000005198665613613992000000000000008046352460152832
0505Joshua    Hopkins   34Gelig Center        Pomodiha  NH        68095     $6448.64            BLUE  08/01/1984000000000000-500600984410.5216000000000000000342548125580063000000000000007942630535069696
0506Gavin     Hampton   37Adzen Parkway       Guluvef   NM        10747     $430.91             RED   04/13/206500000000000000-34684379594.752000000000000000348133789683083000000000000007416541817602048
0507Ina       Reyes     18Tiljon Turnpike     Ivabumot  ID        36383     $3102.14            YELLOW03/07/20060000000000000-209305733169.152000000000000004026429394312162000000000000000945541861081088
0508Kathryn   Davis     22Nata Place          Kodsavzop MT        52432     $9393.06            RED   03/11/20270000000000000441197299289.2928000000000000000344007116557877000000000000004282375225737216
0509Ryan      Ryan      62Wosi Highway        Macatel   VT        69498     $5598.91            RED   10/28/195000000000000000898465565507.584000000000000006011803406393000000000000000005793489226825728
0510Mildred   Burgess   49Simbi Heights       Semitjif  MN        00796     $1821.35            YELLOW09/24/20520000000000000876862868186.7264000000000000000349108522223503000000000000007242870188670976
0511Sarah     Sherman   29Pivivu View         Nadferu   AL        28961     $2405.80            YELLOW06/08/1988000000000000-408815550228.0704000000000000000348030646738599000000000000003382522119454720
0512Marion    Morgan    54Wenbic Circle       Nunvijveb SC        32147     $7664.73            WHITE 03/22/1976000000000000-532577295689.3184000000000000005123762540386923000000000000000774334123606016
0513Rena      Copeland  64Nile Path           Lukmulvoz KY        05435     $5417.46            GREEN 09/29/20570000000000000179315791416.5248000000000000000036714634862860000000000000005042490360987648
0514Sallie    Sandoval  41Maspo Parkway       Ugeiduce  MO        16852     $4058.95            BLUE  07/29/19940000000000000-12105120795.8528000000000000006334954183767492000000000000002891293975904256
0515Clarence  Stewart   40Gizup Highway       Wubiget   GA        16355     $472.57             WHITE 05/19/19070000000000000355288472983.9616000000000000000201424972744311000000000000003157532166062080
0516Wesley    Patrick   38Refec Key           Jiebteb   IA        55653     $2954.11            YELLOW05/07/19750000000000000110767948116.7872000000000000000030070481648530000000000000001647779357130752
0517Hallie    Alvarez   20Moej Heights        Jotudib   NE        70933     $5946.73            RED   04/02/2029000000000000-853206824596.2751000000000000006213789946123849000000000000005827508377223168
0518Tony      Manning   54Wokog Point         Covfiis   MO        87160     $3504.04            YELLOW10/18/20580000000000000-590928699981.824000000000000005128352558461803000000000000007598016600997888
0519Olga      Hampton   39Beefe Place         Rarwedmoh PA        49861     $9771.21            GREEN 02/15/1965000000000000-598629828840.6528000000000000005477703907125340000000000000005832358156566528
0520Virginia  Mendez    43Lacid Park          Sibcabe   WV        22710     $9009.37            BLUE  07/01/19280000000000000020318088960.4096000000000000000030052211290155000000000000001998803263553536
0521Mabel     Pope      48Asufo Point         Jewseviv  OH        68792     $8789.50            BLUE  03/20/2051000000000000-506204501993.0624000000000000006334119724873650000000000000005430143661113344
0522Jeffrey   Wells     64Jucpo Park          Sumfutmi  FL        96645     $2974.28            WHITE 01/17/2047000000000000000-95894340894.72000000000000004026383188172805000000000000006470949622775808
0523Luella    Burke     40Ajiki Heights       Urobikcad IL        20281     $1644.83            YELLOW02/09/19350000000000000453062475277.9264000000000000006376965972740580000000000000004487037518348288
0524Callie    Sanchez   31Toftil Lane         Nuzkijcad WA        70253     $7106.58            WHITE 08/20/20030000000000000378110439378.1248000000000000005462399164079069000000000000004893042530058240
0525Georgie   Gill      25Tifgih Boulevard    Dofuac    MO        48568     $6246.57            RED   05/31/203700000000000000848038176227.328000000000000004372791093349567000000000000002230164131938304
0526Devin     Torres    52Rakun Pass          Umudle    ID        75889     $5823.10            WHITE 07/26/1912000000000000-102205440078.6432000000000000005018147915519530000000000000004615478020407296
0527Susie     Cross     20Wemlij Junction     Sebnumid  DC        92679     $8811.84            RED   08/08/19930000000000000273239116034.8672000000000000000341404495151153000000000000007750985598369792
0528Georgia   Mann      32Akipej Street       Bibbarror OK        73118     $4329.60            WHITE 03/06/2061000000000000-852369565181.5424000000000000000036182474068081000000000000001469891141959680
0529Devin     Mills     48Avle Turnpike       Civiwked  MS        14917     $8553.46            GREEN 11/11/2032000000000000-311274915653.2224000000000000004903471074223952000000000000003836489272131584
0530Carl      Walker    20Afiw Square         Lenicfe   VT        34460     $7585.27            RED   12/22/2015000000000000-282010094823.0144000000000000006281010600914986000000000000008899213249216512
0531Marc      Rowe      18Mizij Ridge         Rigivol   MT        42142     $3525.44            BLUE  07/14/2041000000000000-214046769728.7168000000000000004026733165337732000000000000000473671992868864
0532Mark      Brewer    48Pozju Key           Foidina   MD        24253     $8741.82            RED   03/14/20280000000000000320054379098.9312000000000000006334769172138145000000000000005638125940375552
0533Alice     Gibson    40Gipuf Glen          Ibmizkes  MD        23386     $6751.03            BLUE  03/16/2024000000000000-466327993476.7104000000000000004026002570878536000000000000002358521538543616
0534Augusta   Barnett   39Mawim Key           Pitfuvza  DC        72954     $3497.51            BLUE  08/28/1923000000000000-299904235523.2768000000000000005410436481268984000000000000002808551244300288
0535Lottie    Harrington42Jasro Glen          Satbunuj  MN        50029     $5497.69            BLUE  02/06/1913000000000000-841227248546.6112000000000000003528961438611451000000000000006357461453766656
0536Justin    Bowers    18Kuad Path           Latrubmu  MA        74807     $2399.64            RED   03/19/19520000000000000794458330444.5952000000000000000343419073220244000000000000007047730866159616
0537Eddie     McCormick 18Koot Extension      Jugkosziv NH        85601     $8867.54            BLUE  09/28/20590000000000000750301343016.5504000000000000006287660097504197000000000000007312293167628288
0538Angel     Ryan      41Otuge Loop          Fifanos   NC        01602     $4008.74            WHITE 03/25/1951000000000000-899498862916.4032000000000000005018116137975382000000000000005811532575277056
0539Joshua    Miles     61Wozwuf Road         Huthoene  GA        12910     $2917.43            RED   02/21/19190000000000000748550257586.9952000000000000006254514757385455000000000000004407648940195840
0540Anne      Lindsey   58Arazu Loop          Kiabli    CT        71674     $6870.63            YELLOW07/08/2021000000000000-610161147458.3552000000000000006304423009636212000000000000006884489445769216
0541Lena      Jensen    21Imoce River         Jenitan   LA        58622     $417.16             GREEN 10/17/2062000000000000-213158114151.6288000000000000005194175955330100000000000000000081946665287680
0542Duane     Greer     56Robo Mill           Rajjobo   KY        77136     $3024.92            WHITE 12/25/2060000000000000-351807773186.4576000000000000005610178978300379000000000000004894469159649280
0543Verna     McDonald  31Juke Parkway        Tibvaha   NH        23954     $4916.01            WHITE 03/19/19350000000000000122806816106.0864000000000000006268222298881198000000000000005768417470578688
0544Adelaide  Soto      23Sesog Road          Napnuhar  HI        21794     $9682.82            WHITE 10/30/1964000000000000-227760384298.1888000000000000006376937224346458000000000000000007214941077504
0545Isabelle  McLaughlin43Jemo Heights        Duolvev   RI        24913     $7833.35            WHITE 04/07/19590000000000000585738802849.3824000000000000006376286565273834000000000000008142039111696384
0546Katie     Norman    46Uzsor Highway       Lopeppod  OH        74790     $3808.91            YELLOW11/09/19490000000000000477086013299.0976000000000000005470328843995049000000000000004191795825082368
0547Amy       Zimmerman 42Utlu Heights        Igsilaj   MN        68311     $792.64             GREEN 08/12/1941000000000000-547199282000.6912000000000000006374877403272921000000000000005961888181518336
0548Jayden    Gibson    54Zobcef Turnpike     Bimzotigo TX        74954     $4882.02            GREEN 05/05/2053000000000000-344551451944.5504000000000000005610518437651765000000000000007415077279891456
0549Genevieve Owens     45Ujli Lane           Nevdasur  OR        77512     $918.47             BLUE  11/01/2062000000000000-743766410185.9327000000000000004903745602682791000000000000001825121528446976
0550Eliza     Hayes     37Vodod Circle        Rosviler  OH        81121     $4825.30            YELLOW07/28/195200000000000000405768362786.816000000000000003528588416597210000000000000000280120700960768
0551Ada       Marshall  55Kuksip Circle       Tivranti  WA        48483     $527.97             BLUE  02/01/1942000000000000-434674707359.3344000000000000004903989189715489000000000000002821681374560256
0552Russell   Blair     41Faguj Manor         Puphegud  WY        53929     $912.39             WHITE 05/13/20490000000000000-129539573284.864000000000000004318445309197123000000000000007974613369749504
0553Clifford  Thompson  27Nuwraz Grove        Gaifofa   ID        03804     $9933.67            GREEN 09/26/1996000000000000-590363795180.7488000000000000006304293294027199000000000000008542360222826496
0554Randy     Vasquez   22Tacvug Place        Imajda    SC        60868     $7943.89            BLUE  02/08/19490000000000000-50547334211.1744000000000000006304421282532819000000000000000624968482160640
0555Olivia    Joseph    33Vazvi River         Wetzezhu  WY        91517     $6034.56            WHITE 10/23/19470000000000000488578785424.1792000000000000004026990938295270000000000000000789622047113216
0556Randall   Huff      39Ruzla Lane          Losonma   NH        02138     $5997.50            GREEN 12/16/1914000000000000-752376771038.4128000000000000006334889962113445000000000000003973928420638720
0557Cordelia  Reese     54Areti View          Garikjav  MT        26419     $5690.88            WHITE 06/01/1903000000000000-620089125424.3328000000000000005018879889862807000000000000004913807201665024
0558Christine Rios      18Vopcut Pass         Giccopfob IA        04930     $3935.41            GREEN 11/11/19590000000000000-524262993559.552000000000000004026336877637371000000000000001542978541715456
0559Elmer     Riley     52Coneh Key           Ulbodve   MA        43455     $9165.93            YELLOW06/29/1902000000000000-285024611572.1216000000000000005610171798723623000000000000001303135477825536
0560Kenneth   Collier   51Bowmop Turnpike     Pewrafmum TN        64009     $2975.97            BLUE  03/07/197900000000000000-621082228817.92000000000000000201424823145973000000000000006362635819810816
0561Ray       McDonald  61Runbop Heights      Besreepa  SD        57792     $9451.92            WHITE 04/27/2029000000000000-248697794959.7696000000000000000030080171301704000000000000005500790233890816
0562Jean      Morrison  33Jigje Pike          Cetdowa   SC        82899     $1044.81            BLUE  12/24/1921000000000000-121634524076.4416000000000000000347324168720262000000000000002785838154907648
0563Andrew    Thomas    36Gulel Point         Wusirugus DE        30270     $3164.45            GREEN 03/06/1987000000000000-733054182935.7568000000000000004903887712603802000000000000003838319507013632
0564Tommy     Parker    57Fufo Ridge          Joseseg   NC        04682     $4411.87            YELLOW03/25/19700000000000000564058408563.5072000000000000000201476075510551000000000000006628820060733440
0565Henry     Peterson  61Vaheme Trail        Eniwasa   TX        08512     $390.14             YELLOW10/09/19980000000000000-873802653237.248000000000000006334071902773899000000000000003213949124214784
0566Ella      Hunter    56Edieni Pass         Tawubuzaw DE        92846     $1771.42            GREEN 04/17/19460000000000000242280014492.4672000000000000005610953783736847000000000000001885237015478272
0567Joe       Morgan    28Kopir Pass          Paiwca    IA        01402     $917.86             BLUE  12/31/20270000000000000427165641972.1216000000000000003528789711170907000000000000006999874012708864
0568Clara     Lindsey   34Asemi Extension     Fumjefre  NJ        98359     $6421.59            BLUE  01/04/2014000000000000-497515844809.5232000000000000003528953933478221000000000000007978898704826368
0569Albert    Clayton   40Enavov Square       Vodtisih  TN        26268     $4794.36            WHITE 10/25/1942000000000000-551242728629.8624000000000000000030037638540134000000000000003119331651092480
0570Chester   Bishop    31Puraz Manor         Aswife    IN        94547     $5924.35            RED   09/21/1988000000000000-219113717550.2848000000000000006210014115135737000000000000001802190907768832
0571Lettie    Keller    64Codco Parkway       Vivotij   MD        67129     $9641.36            BLUE  06/27/2028000000000000-155530828342.8864000000000000000036486210059928000000000000003511626554671104
0572Leah      Padilla   36Corrin Junction     Enovadaga UT        08953     $8789.50            BLUE  06/23/20440000000000000318116042322.7392000000000000006373072298104139000000000000004126206192517120
0573Viola     George    32Emep View           Atihoum   LA        75346     $5839.49            BLUE  05/02/20180000000000000-633110198747.136000000000000006253208179977764000000000000008430211234267136
0574Claudia   McCoy     34Maita Key           Fajveog   DE        08583     $7250.23            BLUE  09/28/2030000000000000-621901154510.4384000000000000005018558040899672000000000000008343013726093312
0575Alfred    Grant     52Ajaago Parkway      Gehwokda  HI        72452     $7002.34            WHITE 02/16/19140000000000000106410857306.5216000000000000005610785085149562000000000000001539471535243264
0576Andrew    Goodman   58Ruwo Parkway        Reskicfi  WA        31732     $8210.11            RED   07/19/1995000000000000-173534236953.8048000000000000006304385585302727000000000000007901413659115520
0577Lillian   Phillips  46Veve Glen           Cobojom   OK        86172     $2560.45            GREEN 05/21/19190000000000000530281931368.0384000000000000005150339917220013000000000000005260612038819840
0578Gordon    Craig     26Haje View           Asajetsut VT        39491     $4003.37            YELLOW05/17/19060000000000000823758791534.1824000000000000006376091558530939000000000000002842477945946112
0579Jerome    Holt      48Pumbo River         Bamdicga  DC        54027     $8766.77            BLUE  05/27/194800000000000000338860278022.144000000000000005128412890358818000000000000004323425919172608
0580Mae       Houston   60Egov Manor          Inalemhor NH        67677     $6481.99            YELLOW04/30/1950000000000000-789311051635.0977000000000000000349860932019059000000000000007063794603786240
0581Corey     Butler    34Fabit Terrace       Ozvupcav  WY        28962     $7757.50            BLUE  09/06/19070000000000000256229140489.8304000000000000006377427978073671000000000000001163896855461888
0582Cora      Sullivan  36Uhdo Circle         Kaesaj    NJ        49663     $9978.44            RED   12/04/20400000000000000097747564337.5616000000000000004903309975176459000000000000000923469508247552
0583Landon    Mendez    53Himu Drive          Ipotacleb WY        64585     $9386.95            BLUE  08/31/2016000000000000-708803247787.2128000000000000005123074915872564000000000000002486423592632320
0584Amy       Hanson    27Fafwaw Extension    Gauvuga   NM        20867     $9946.92            WHITE 08/29/191800000000000000729877349138.432000000000000000036376151718881000000000000007072161174913024
0585Chris     Simon     26Upgub Circle        Biteva    CO        10454     $9688.93            YELLOW02/11/19010000000000000195242421439.6928000000000000006371750707428338000000000000003605881121931264
0586Frank     Fisher    20Conig Road          Ejiemoci  FL        17774     $8499.19            GREEN 12/12/2069000000000000-884184034626.7648000000000000004026420036171975000000000000000703920154345472
0587Angel     Howell    44Pobgu Turnpike      Jafoev    WI        82609     $7297.11            YELLOW12/30/19820000000000000345965629905.3056000000000000006290878927140025000000000000001405204633223168
0588Willie    Joseph    44Meza Turnpike       Seonsuj   IL        55198     $1539.10            GREEN 07/25/19380000000000000235660261510.3488000000000000005101081950634060000000000000008900837086593024
0589Mabel     Johnston  39Jufka Square        Wuigode   ND        32754     $4241.45            BLUE  05/25/20200000000000000286573466956.5952000000000000006304079173987367000000000000004091471797944320
0590Joshua    Chandler  30Tane Junction       Pukuptec  CO        94461     $2497.26            GREEN 07/04/195900000000000000-53991763345.408000000000000006295748718349710000000000000000834087619133440
0591Cordelia  Tyler     35Manvad Circle       Hijpidmic AL        79111     $3121.70            RED   10/04/19110000000000000481282867016.4992000000000000004083755808424593000000000000005045884054142976
0592Jessie    Morton    53Mufe Circle         Rigief    OK        25301     $8244.12            GREEN 09/22/2037000000000000000608717315768.32000000000000000201487105235903000000000000006313348704501760
0593Derrick   Campbell  54Rija River          Kodsagtir NV        90118     $9443.37            GREEN 10/02/20240000000000000302029191983.9232000000000000005610305056223419000000000000001932148831420416
0594Randy     Martinez  27Lunbin Parkway      Envovep   SD        96863     $1183.56            WHITE 02/26/196900000000000000062360750391.296000000000000005148329208575808000000000000008681392502210560
0595Donald    Lopez     45Zove Turnpike       Udopewu   KS        75452     $4968.38            YELLOW07/17/19740000000000000-94404701532.9792000000000000006334671735492706000000000000002764205841186816
0596Elijah    Wells     36Jibil Mill          Zocreso   NJ        64211     $6361.18            RED   11/13/1954000000000000-529608848336.4864000000000000000030031233717676000000000000003508494600765440
0597Ricardo   Morris    57Jeapi Parkway       Gimfarjaj MI        29522     $2856.04            WHITE 07/21/1960000000000000000380620578488.32000000000000006334691143610194000000000000007966986399121408
0598Melvin    Wagner    35Seri Heights        Kefgenbu  UT        55307     $6780.27            YELLOW05/25/19370000000000000-434530026520.576000000000000006304672475909467000000000000006767616496500736
0599Phoebe    Ramos     32Wutak Court         Dalwivnah MI        01729     $2220.38            WHITE 10/13/20630000000000000578738972105.1136000000000000005018556739810307000000000000002071516239888384
0600Roxie     Jefferson 65Hetsam Point        Puuddij   DC        94195     $901.00             GREEN 12/23/19260000000000000851810058869.1456000000000000005610424353558904000000000000002202521923747840
0601Lloyd     Bailey    41Nedlew Path         Wuchesoj  AK        95952     $1589.98            WHITE 05/29/2045000000000000-688388774140.3136000000000000004604503347701182000000000000001820030287216640
0602Luke      Ortega    56Mulkud Square       Sugebob   ND        39461     $6546.72            BLUE  04/16/2027000000000000-449007607139.5328000000000000005187095989467810000000000000001008619183144960
0603Ada       Hunt      60Ocmo Heights        Hagfarede NH        21408     $7817.84            WHITE 10/22/1988000000000000-705604926989.9264000000000000000030085201143505000000000000008049308660137984
0604Eva       Clarke    40Dadwu Highway       Ezoghat   VA        15500     $5902.09            GREEN 02/20/2045000000000000-284041334593.9456000000000000004026027339812583000000000000008507014785269760
0605Clarence  Newton    36Vazrew Extension    Afavapev  WY        19418     $7216.76            BLUE  05/12/1925000000000000-176909193733.7344000000000000006304285886440483000000000000004621348349411328
0606Willie    Conner    25Satob Parkway       Ajodombe  OR        49393     $3318.49            YELLOW07/10/2025000000000000-759396408544.4608000000000000005423861391767186000000000000003630425016631296
0607Norman    Sutton    38Okiri Trail         Siiddev   MI        55781     $4940.80            YELLOW03/24/20270000000000000422767395392.7168000000000000006011195031415542000000000000001725327420162048
0608Alta      Robinson  55Jaar Center         Ejaajaja  WA        78647     $7182.64            RED   04/25/20330000000000000057117719815.7824000000000000006284688905292179000000000000002731838650974208
0609Ricky     Christense61Daad Trail          Vamfecrij CT        88095     $6044.02            BLUE  01/01/1917000000000000-777725653339.3408000000000000000340639685570107000000000000000212239975972864
0610Danny     Snyder    31Petir Ridge         Gevijufu  RI        29231     $889.10             YELLOW10/25/19430000000000000250243751660.7488000000000000003528556205074360000000000000005237456964157440
0611Lucile    Gardner   30Etihum Key          Rubiag    MA        30789     $4335.03            BLUE  08/06/20040000000000000740778817513.0624000000000000006011041207763093000000000000004349332929118208
0612Essie     Fleming   38Hakmo Turnpike      Sorihme   AR        44041     $2182.31            RED   06/04/1906000000000000-471268087929.2416000000000000005610709921856990000000000000006837134231076864
0613Dean      Watson    31Tuiw Circle         Pigovaape MD        54601     $2051.63            YELLOW11/30/2024000000000000000-54611694059.52000000000000000036336092477229000000000000001599849961095168
0614Gabriel   Drake     28Ogaawa Plaza        Vubilauh  ME        87358     $1385.26            RED   03/08/1905000000000000-111118046671.6672000000000000004972559711047507000000000000006181750780723200
0615Willie    Todd      62Kevhud Highway      Numseceli MA        63549     $4899.65            GREEN 08/01/19170000000000000-813624549441.536000000000000000030068332984674000000000000000556596306378752
0616Verna     Snyder    20Daos Lane           Kowillir  NJ        84346     $3482.98            WHITE 12/20/20220000000000000830727353742.1312000000000000006011611640710388000000000000001309390592278528
0617Jesse     Perry     22Apzi Trail          Ehkimuf   NY        26152     $3615.02            YELLOW12/14/1965000000000000-217353171868.0576000000000000000348657892176593000000000000006361638437388288
0618Seth      Luna      30Osava Terrace       Puajufa   CT        97723     $3412.17            WHITE 11/25/1948000000000000-870045484213.8624000000000000006334219838062081000000000000001170404076945408
0619Jeremy    Castro    40Cicwa Place         Piponu    NY        03320     $7725.75            YELLOW10/31/19080000000000000-649126314246.144000000000000005449984787480675000000000000005497234401525760
0620Elijah    Stevenson 42Tizad Park          Lilmava   ID        05372     $9819.50            RED   10/28/2056000000000000-300762020603.4944000000000000006293181224529108000000000000004835807430967296
0621Frances   Massey    21Natoj Street        Viwlerred MO        43230     $9233.79            RED   11/18/1970000000000000-573216595430.6049000000000000006373642616231937000000000000001891993030492160
0622Madge     Armstrong 52Ofza View           Zuwoce    MT        78423     $5287.38            GREEN 03/26/1915000000000000-877784390329.9584000000000000000201425772502684000000000000006969176390369280
0623Louise    Harper    34Zubfu Street        Ojekekal  WY        10361     $5016.17            RED   07/23/204700000000000000860862990516.224000000000000006304181410754269000000000000003974176912179200
0624Catherine Fisher    33Dotiv Parkway       Arufuhpej DE        36678     $7183.78            WHITE 06/19/20330000000000000524842133828.4032000000000000006376297675651660000000000000006783224409751552
0625Eric      Mitchell  38Loje Grove          Melzacjok GA        57414     $1784.91            RED   02/09/20190000000000000872101765657.3951000000000000005018323620636147000000000000000496538899972096
0626Dora      Sullivan  24Iwemut Park         Pinemuk   OK        34231     $3777.34            GREEN 10/22/2049000000000000-261698148001.3824000000000000006370537964671192000000000000000880549973458944
0627Kevin     Paul      33Rovad Grove         Sowiguj   PA        27529     $4489.63            GREEN 03/26/19500000000000000432176358018.2528000000000000006334044716484201000000000000004263721876586496
0628Viola     Franklin  36Litnor Center       Bofidno   SD        97796     $759.95             WHITE 08/15/19200000000000000101826474226.4832000000000000006210977866628326000000000000001414360289247232
0629Maurice   Alvarado  54Fucezu Boulevard    Sojmolic  ID        51910     $8517.89            WHITE 03/04/20570000000000000817159849010.7904000000000000000036455478695095000000000000003473490692800512
0630Luis      Simpson   37Hiktob Turnpike     Kaparbi   FL        72067     $3641.30            RED   05/01/19740000000000000146382599172.9152000000000000000201452762973998000000000000006272418888810496
0631Olivia    Sandoval  61Goled Key           Wogusbiv  AL        27573     $7348.45            RED   06/01/20050000000000000335974256712.0896000000000000006334288673630864000000000000000266801539710976
0632Betty     Simpson   60Zugi Pass           Uhheiz    MO        81216     $3100.07            WHITE 05/02/1913000000000000-151260398983.5776000000000000000345586503288740000000000000000116116328284160
0633Claudia   Brown     65Ojevi Turnpike      Meserte   AL        96858     $4762.15            GREEN 10/26/1943000000000000-445429143987.8144000000000000006304360542006786000000000000008708761380192256
0634Bettie    Reese     30Wabvag Heights      Kugkafpol ND        03899     $4018.86            YELLOW06/05/19750000000000000534716391148.7488000000000000006334538885573629000000000000000562530825011200
0635Mayme     Mason     26Joosu Highway       Ohopelow  MI        48825     $2062.64            GREEN 07/19/20330000000000000544525779363.4304000000000000004903948294872817000000000000001454129704599552
0636Alan      Waters    58Poeb Grove          Wokage    SD        10125     $4523.40            RED   03/31/19720000000000000145595995206.4512000000000000005106172500262554000000000000008012809736552448
0637Howard    Frazier   23Erujo Grove         Ikomaefi  KS        46345     $6464.24            WHITE 12/27/2010000000000000-102674040304.4352000000000000004903509004669966000000000000000380725205401600
0638Maude     Freeman   40Uzupos River        Birmozi   OR        08754     $5725.93            BLUE  07/25/19370000000000000462704875248.0256000000000000005018000124025726000000000000000740470141485056
0639Lewis     Brady     50Jocjo Mill          Wavzuwfe  MO        97017     $362.78             GREEN 10/16/1949000000000000-133042166929.8176000000000000000036646943913143000000000000006354669064421376
0640Louisa    Huff      37Necih River         Nijavmez  MD        04380     $4357.81            RED   03/30/2064000000000000-622290540272.0256000000000000006371584760919507000000000000005318487228547072
0641Jim       Bailey    28Pomre View          Bounlu    VT        17583     $7102.18            YELLOW12/28/2015000000000000-867764355360.3584000000000000000030057242903981000000000000007474208302956544
0642Flora     Stephens  24Tude River          Bajbiznok NJ        93329     $7843.48            BLUE  05/13/2032000000000000-432166895668.4288000000000000004903841718852392000000000000000908526874525696
0643Chester   Ford      63Wunig Boulevard     Ilogubi   FL        39828     $6751.44            WHITE 03/24/2055000000000000-555402516024.5248000000000000000030057479540639000000000000004236050956288000
0644Henry     Mason     30Amkem Point         Jevolmit  SC        82510     $51.03              YELLOW08/26/19120000000000000-68153255762.3296000000000000004026058898411806000000000000008013973626552320
0645Larry     Simpson   20Nelul Manor         Ditowiki  MS        87759     $7369.35            RED   01/19/2016000000000000-781913444004.6592000000000000006011557421771000000000000000001848788230602752
0646Mildred   Alvarez   21Zudhef Park         Ritecseg  LA        68528     $7757.91            RED   04/04/2005000000000000-855231526286.1312000000000000005189867429922085000000000000008004716623560704
0647Janie     Lawrence  31Tapces Pike         Bijiti    WA        65139     $6802.85            BLUE  06/25/1953000000000000-247982540298.6496000000000000000201429289357988000000000000005870898137530368
0648Bettie    Meyer     55Oresaj Highway      Huvliwpoc CA        80160     $6106.44            BLUE  04/18/2002000000000000-350585537901.3632000000000000004903115504562089000000000000002548427980275712
0649Herman    Wise      40Nilrag Extension    Gefdizhed AK        96326     $5727.11            YELLOW04/25/2035000000000000-463959089165.1072000000000000003528471772413944000000000000000605562836353024
0650Dollie    Nelson    46Jurif Junction      Vajrewep  TX        94766     $5873.97            RED   07/30/20190000000000000721377989702.4512000000000000000340053409024542000000000000002579722894573568
0651Joel      Hogan     53Dovnu Glen          Hepatdak  IN        83279     $9503.24            YELLOW01/13/20320000000000000137272767597.7728000000000000006011737666750220000000000000002778473087107072
0652Winifred  Rivera    28Cimit Parkway       Odoicahaw TX        72444     $3651.34            WHITE 08/15/1906000000000000-858551319579.8528000000000000004026730186686535000000000000007267700493516800
0653Emily     Jacobs    38Cacpup Highway      Himihod   PA        45934     $6577.41            BLUE  02/25/201200000000000000-260710921666.56000000000000006209112768447616000000000000005742988026183680
0654Terry     Matthews  53Hisin River         Luvizenup MT        04604     $2647.61            RED   09/27/1915000000000000-858118587364.1472000000000000006304110458993018000000000000007629265380048896
0655Floyd     Lopez     50Ditu Boulevard      Irziva    NE        50841     $3803.18            RED   04/11/19080000000000000017104231622.2464000000000000003528785839499822000000000000004391444357840896
